title,name,location,time,verified,review,aircraft,travel,seat_type,route,flown,rating,comf_rating,cabin_rating,food_rating,inflight_rating,ground_rating,money_rating,recomindation
friendly cabin staff service,M Gatari,United Kingdom,29th October 2023,Trip Verified,29th October 2023,,Solo Leisure,Economy Class,Singapore to Milan via Doha,October 2023,8/10,5.0,5.0,5.0,5.0,5.0,5,
Qatar delivers top notch at times,Anders Pedersen,Denmark,28th October 2023,Trip Verified,28th October 2023,B777-300,B777-300,Economy Class,doh to kwi,October 2023,10/10,4.0,5.0,5.0,4.0,5.0,4,
Thank you for the great experience,Richard Ofiera,Germany,27th October 2023,Not Verified,27th October 2023,Boeing 787-9,Boeing 787-9,Economy Class,Oslo to Doha,October 2023,9/10,4.0,5.0,5.0,5.0,4.0,5,
Overall nice experience,Alok Mishra,Nepal,27th October 2023,Trip Verified,27th October 2023,A330-300 /  Boeing 777-200Lr,A330-300 /  Boeing 777-200Lr,First Class,Kathmandu to Sao Paulo via Doha,October 2023,9/10,4.0,5.0,5.0,4.0,4.0,4,
airline has nice seats,Mustafa Manzoor,United States,26th October 2023,Not Verified,26th October 2023,,Family Leisure,Economy Class,Doha to Chicago,October 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
issues on the ground,Michael Schade,Germany,25th October 2023,Trip Verified,25th October 2023,A380 / Boeing 789,A380 / Boeing 789,Business Class,Bangkok to Brussels via Doha,October 2023,5/10,4.0,5.0,4.0,4.0,1.0,2,
the cabin crew was super nice,S Han,China,21st October 2023,Trip Verified,21st October 2023,,Solo Leisure,Economy Class,Doha to Seattle,October 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
Another great experience,Gina Monguia,France,16th October 2023,Trip Verified,16th October 2023,,Solo Leisure,Economy Class,Paris to Melbourne via Doha ,October 2023,10/10,5.0,5.0,4.0,5.0,5.0,4,
absolutely lovely experience,A Halshan,Kuwait,11th October 2023,Trip Verified,11th October 2023,,Couple Leisure,Business Class,Vienna to Kuwait via Doha,October 2023,10/10,5.0,5.0,5.0,4.0,4.0,4,
Toilets were a mess,P Pearson,United Kingdom,11th October 2023,Trip Verified,11th October 2023,A330,A330,Economy Class,Colombo to Doha,October 2023,7/10,3.0,5.0,5.0,2.0,3.0,4,
IFE is exceptional,P Pearson,United Kingdom,11th October 2023,Trip Verified,11th October 2023,Boeing 777ER,Boeing 777ER,Economy Class,Doha to London Heathrow,October 2023,10/10,5.0,5.0,5.0,5.0,4.0,4,
"Offered me 10,000 avios as compensation",N Putul,Australia,10th October 2023,Trip Verified,10th October 2023,A350-1000,A350-1000,Business Class,Doha to Singapore,September 2023,1/10,1.0,1.0,3.0,5.0,,1,
spoiled by the ground staff at Doha,Tony Halliwell,United Arab Emirates,7th October 2023,Trip Verified,7th October 2023,A380,A380,Business Class,London Heathrow to Dubai via Doha,October 2023,8/10,4.0,5.0,5.0,4.0,2.0,4,
Excellent experience let down by delays,Tony Halliwell,United Arab Emirates,7th October 2023,Trip Verified,7th October 2023,Boeing 787-8,Boeing 787-8,Business Class,Dubai to Gatwick via Doha,September 2023,7/10,4.0,4.0,3.0,,5.0,4,
five star customer service,K Mansour,United Kingdom,6th October 2023,Trip Verified,6th October 2023,A350-1000,A350-1000,Economy Class,London Heathrow to Denpasar Bali via Doha,October 2023,10/10,4.0,5.0,4.0,4.0,4.0,4,
missing bag apparently was traced in AMS,Philip Armstrong,South Africa,5th October 2023,Trip Verified,5th October 2023,,Couple Leisure,Economy Class,Amsterdam to Cape Town via Doha,September 2023,1/10,,4.0,3.0,3.0,1.0,1,
things went fairly smooth,Ladislav Habart,Thailand,4th October 2023,Trip Verified,4th October 2023,Boeing 777,Boeing 777,Economy Class,Bangkok to Doha,October 2023,9/10,3.0,5.0,5.0,4.0,5.0,4,
seating was simply just too small,C Hardy,Australia,3rd October 2023,Trip Verified,3rd October 2023,Boeing 777-300er,Boeing 777-300er,Economy Class,Manchester to Brisbane via Doha,September 2023,1/10,1.0,1.0,,,1.0,1,
exceptional service,Vahid Jahangiri,United States,3rd October 2023,Trip Verified,3rd October 2023,A350 / Boeing 787,A350 / Boeing 787,Economy Class,Washington to Kathmanda via Doha,September 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
most disappointing was the food,M Cambarda,France,3rd October 2023,Trip Verified,3rd October 2023,,Business,Economy Class,Paris to Muscat via Doha,September 2023,3/10,1.0,4.0,1.0,3.0,3.0,3,
exceptional service,O Myrick,United States,2nd October 2023,Not Verified,2nd October 2023,,Family Leisure,Economy Class,Doha to Bangkok,October 2023,10/10,4.0,5.0,5.0,4.0,5.0,5,
Garuda Business lounge that was really awful,G Mayle,Australia,1st October 2023,Trip Verified,1st October 2023,,Couple Leisure,Business Class,Jakarta to Athens via Doha,September 2023,4/10,3.0,3.0,3.0,1.0,1.0,1,
they use a small aircraft,Mohamed Redha Al Lawati,Oman,30th September 2023,Trip Verified,30th September 2023,A320,A320,Economy Class,Vienna to Muscat via Doha,September 2023,3/10,1.0,3.0,3.0,1.0,4.0,3,
the leg room felt a little tighter,D Morton,Czech Republic,30th September 2023,Trip Verified,30th September 2023,A380-800,A380-800,Economy Class,Bangkok to Vienna via Doha,September 2023,8/10,5.0,5.0,4.0,3.0,4.0,5,
the need to take buses,Albert Tay,Singapore,30th September 2023,Not Verified,30th September 2023,,Business,Business Class,Singapore to Rome via Doha,September 2023,6/10,4.0,4.0,4.0,3.0,2.0,3,
didn't acknowledge or greet me,H Nair,Bahrain,27th September 2023,Trip Verified,27th September 2023,,Solo Leisure,Economy Class,Doha to Bahrain,September 2023,1/10,1.0,1.0,1.0,,1.0,2,
helped us tremendously,T Ding,Austria,23rd September 2023,Trip Verified,23rd September 2023,,Couple Leisure,Economy Class,Vienna to Singapore via Doha,September 2023,10/10,5.0,5.0,,,5.0,5,
First Class lounge in Doha is amazing,Alwaleed Althani,Qatar,23rd September 2023,Trip Verified,23rd September 2023,Boeing 737-8MAX,Boeing 737-8MAX,First Class,Doha to Kuwait,September 2023,7/10,3.0,5.0,2.0,,5.0,2,
experience couldn’t have been better,Anna Makris,Australia,23rd September 2023,Not Verified,23rd September 2023,,Couple Leisure,Economy Class,Athens to Melbourne via Doha,September 2023,9/10,5.0,5.0,4.0,4.0,5.0,4,
fast service and good offerings,Michael Schade,Germany,23rd September 2023,Trip Verified,23rd September 2023,Boeing 738 max / B773 ER,Boeing 738 max / B773 ER,Economy Class,Abu Dhabi to Bangkok via Doha,September 2023,6/10,3.0,5.0,2.0,4.0,4.0,1,
we never got a refund,D Laguitton,United Kingdom,22nd September 2023,Trip Verified,22nd September 2023,,Family Leisure,Economy Class,Doha to Colombo,July 2023,1/10,2.0,1.0,2.0,,1.0,3,
lost the connection flight,Y Horden,Uganda,22nd September 2023,Trip Verified,22nd September 2023,,Business,Economy Class,Entebbe to Vienna via Doha,September 2023,5/10,4.0,5.0,3.0,5.0,4.0,3,
The service was amazing,M Haleem,Germany,22nd September 2023,Trip Verified,22nd September 2023,,Solo Leisure,Economy Class,Doha to Frankfurt,September 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
very average flights,Michael Schade,Germany,20th September 2023,Trip Verified,20th September 2023,Boeing 773ER / 738 Max,Boeing 773ER / 738 Max,Economy Class,Bangkok to Abu Dhabi via Doha,September 2023,5/10,3.0,5.0,1.0,4.0,4.0,2,
Staff and aircraft were fantastic,George Nicholas Rutter,New Zealand,20th September 2023,Trip Verified,20th September 2023,,Business,Business Class,Doha to Auckland ,September 2023,10/10,5.0,4.0,5.0,4.0,4.0,4,
my seat was not in an exit row,C Mayre,United States,19th September 2023,Trip Verified,19th September 2023,,Solo Leisure,Economy Class,Doha to Istanbul,September 2023,1/10,1.0,,,,1.0,1,
Brilliant service as always,Moeen Omar,South Africa,18th September 2023,Trip Verified,18th September 2023,,Family Leisure,Economy Class,Johannesburg to Barcelona via Doha,September 2023,10/10,5.0,5.0,5.0,4.0,5.0,5,
changed our plane to one that didn't have Qsuites,J Meares,Australia,18th September 2023,Trip Verified,18th September 2023,A380 / Boeing 777 / 787-9 ,A380 / Boeing 777 / 787-9 ,Business Class,Sydney to Athens via Doha,August 2023,2/10,4.0,4.0,3.0,2.0,1.0,3,
Incredible from start to finish,A Derrick,Australia,18th September 2023,Not Verified,18th September 2023,,Business,Business Class,Brisbane to Paris via Doha,August 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
not able to select seat,D Tewari,United States,15th September 2023,Not Verified,15th September 2023,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Philadelphia to Delhi via Doha,September 2023,3/10,,,,,,2,
"highly polished, professional service",J Mayes,Lebanon,14th September 2023,Trip Verified,14th September 2023,Boeing 777-300ER,Boeing 777-300ER,Business Class,Beirut to Tokyo via Doha,September 2023,10/10,4.0,5.0,5.0,4.0,5.0,4,
not able complete the food service,V Mann,Germany,14th September 2023,Trip Verified,14th September 2023,Boeing 787,Boeing 787,Economy Class,Mumbai to Frankfurt via Doha,September 2023,2/10,2.0,1.0,1.0,2.0,2.0,1,
This is truly a 5 star airline,K Martin,Australia,13th September 2023,Trip Verified,13th September 2023,Boeing 777,Boeing 777,Business Class,Doha to Tokyo,August 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
another fantastic experience,N Kasouri,United Kingdom,13th September 2023,Trip Verified,13th September 2023,A350-900,A350-900,Economy Class,London Heathrow to Doha,September 2023,10/10,4.0,5.0,4.0,4.0,5.0,4,
Seat comfort on 787 absolute zero,E Paulsen,Thailand,12th September 2023,Trip Verified,12th September 2023,Boeing 787,Boeing 787,Economy Class,Bangkok to Gatwick via Doha,September 2023,1/10,1.0,4.0,3.0,3.0,3.0,2,
waiting for some invoices for more than a year,C Kadyka,Poland,12th September 2023,Trip Verified,12th September 2023,A380 / A330 / B777,A380 / A330 / B777,Business Class,Warsaw to Phuket via Doha,May 2023,7/10,4.0,4.0,5.0,4.0,5.0,3,
Food was terrible,Richard Laycock,United Kingdom,10th September 2023,Trip Verified,10th September 2023,A380,A380,Economy Class,Bangkok to Edinburgh via Doha,August 2023,4/10,3.0,1.0,1.0,5.0,5.0,2,
food on these flights was really tasty,Richard Laycock,United Kingdom,10th September 2023,Trip Verified,10th September 2023,Boeing 787-8,Boeing 787-8,Economy Class,Edinburgh to Bangkok via Doha,August 2023,8/10,3.0,4.0,4.0,5.0,3.0,4,
Indigo was absolutely horrible,T Morton,United Kingdom,9th September 2023,Trip Verified,9th September 2023,,Family Leisure,Economy Class,London to Kochi via Doha,August 2023,1/10,2.0,3.0,2.0,2.0,1.0,1,
I highly recommend Qatar Airways,Michelle Rollason,Australia,9th September 2023,Trip Verified,9th September 2023,A380,A380,Business Class,Sydney to Rome via Doha,July 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
everything was just amazing,Ayesha Amjad,Pakistan,7th September 2023,Trip Verified,7th September 2023,,Family Leisure,Economy Class,Islamabad to London via Doha,September 2023,10/10,5.0,5.0,4.0,5.0,5.0,5,
service throughout was exceptional,Rajapaksa Minimuthu Rajapaksa,Sri Lanka,6th September 2023,Trip Verified,6th September 2023,,Business,Economy Class,Geneva to Colombo via Doha,September 2023,9/10,4.0,5.0,5.0,5.0,5.0,5,
I was given a middle seat,Adrien Rousseau,New Zealand,5th September 2023,Trip Verified,5th September 2023,A350,A350,Economy Class,Auckland to London via Doha,September 2023,5/10,2.0,4.0,2.0,5.0,4.0,2,
Will not use them again,M Garten,United Kingdom,4th September 2023,Trip Verified,4th September 2023,,Solo Leisure,Economy Class,Bangkok to London via Doha,September 2023,5/10,2.0,5.0,3.0,2.0,3.0,2,
the personal service was fantastic,Alwaleed Althani,Qatar,3rd September 2023,Trip Verified,3rd September 2023,A380,A380,First Class,London to Doha,September 2023,9/10,5.0,5.0,5.0,1.0,1.0,4,
I asked for a low salt menu,M Masi,Iran,29th August 2023,Trip Verified,29th August 2023,,Solo Leisure,Economy Class,Montreal to Tehran via Doha,August 2023,8/10,4.0,2.0,1.0,4.0,3.0,4,
seat was quite uncomfortable,SR Shetty,India,29th August 2023,Not Verified,29th August 2023,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Chicago to Doha,August 2023,4/10,3.0,3.0,4.0,3.0,2.0,2,
a wonderful experience,S R Shetty,India,29th August 2023,Not Verified,29th August 2023,Boeing 777-300ER,Boeing 777-300ER,Business Class,Doha to Mumbai,August 2023,8/10,5.0,5.0,5.0,4.0,4.0,5,
very good business class product,R Maxwell,United States,26th August 2023,Not Verified,26th August 2023,Boeing 777 / 787,Boeing 777 / 787,Business Class,Dallas to Johannesburg via Doha,August 2023,7/10,4.0,3.0,5.0,4.0,2.0,3,
upgrade was only for the segment,T Marelli,France,26th August 2023,Trip Verified,26th August 2023,,Family Leisure,Business Class,Singapore to Zurich via Doha,August 2023,1/10,4.0,3.0,2.0,4.0,1.0,1,
Al Safwa lounge food has improved,Michael Schade,Germany,24th August 2023,Trip Verified,24th August 2023,A350-900 / Boeing 777-300,A350-900 / Boeing 777-300,Business Class,Zurich to Bangkok via Doha,August 2023,4/10,3.0,5.0,4.0,4.0,2.0,1,
experienced such bad service,S Morten,Germany,22nd August 2023,Trip Verified,22nd August 2023,,Couple Leisure,Economy Class,Bangkok to Berlin via Doha,July 2023,4/10,4.0,1.0,4.0,5.0,1.0,4,
highlights the exemplary service,Vinod Kamalam Surendran,United States,21st August 2023,Trip Verified,21st August 2023,,Solo Leisure,Economy Class,Doha to New York JFK ,August 2023,8/10,4.0,5.0,4.0,5.0,4.0,5,
Excellent service provided,Matteo Bertoni,Italy,20th August 2023,Trip Verified,20th August 2023,A350-900 / Boeing 787-8,A350-900 / Boeing 787-8,Business Class,Milan to Windhoek via Doha,August 2023,10/10,5.0,5.0,5.0,4.0,4.0,5,
Both my meals were inedible,Christopher Geerdts,South Africa,19th August 2023,Trip Verified,19th August 2023,,Couple Leisure,Economy Class,Doha to Cape Town,August 2023,1/10,1.0,3.0,2.0,,1.0,1,
Qsuite was exceptional,Ilham Fadila,Indonesia,17th August 2023,Trip Verified,17th August 2023,Boeing 777-300ER,Boeing 777-300ER,Business Class,Jakarta to Philadelphia via Doha,August 2023,8/10,5.0,5.0,5.0,5.0,4.0,5,
Excellent service as always,B Gordon,Australia,16th August 2023,Trip Verified,16th August 2023,A380 / A350,A380 / A350,Economy Class,Perth to Riyadh via Doha,August 2023,10/10,5.0,5.0,4.0,,5.0,5,
tedious bus-gating in Doha,Anders Pedersen,Vietnam,15th August 2023,Trip Verified,15th August 2023,Boeing 787-9 / A350-9,Boeing 787-9 / A350-9,Economy Class,Hanoi to Johannesburg via Dohs,August 2023,8/10,4.0,5.0,4.0,5.0,4.0,4,
The internet was the worst,N Harten,Netherlands,12th August 2023,Trip Verified,12th August 2023,A350 / Boeing 787,A350 / Boeing 787,Economy Class,Maputo to Denpasar via Doha,July 2023,3/10,2.0,3.0,3.0,3.0,3.0,2,
delay of 90 minutes,E Dasirin,Belgium,7th August 2023,Trip Verified,7th August 2023,,Family Leisure,Economy Class,Frankfurt to Perth via Doha,July 2023,7/10,4.0,4.0,4.0,4.0,4.0,3,
Boeing 787 is a small aircraft,A Nicholls,Australia,7th August 2023,Trip Verified,7th August 2023,Boeing 787,Boeing 787,Economy Class,Rome to Denpasar via Doha,July 2023,2/10,1.0,5.0,2.0,2.0,3.0,1,
were denied lounge access,J Hadissim,Kenya,2nd August 2023,Trip Verified,2nd August 2023,,Business,Business Class,Jarkata to Doha,August 2023,8/10,5.0,4.0,4.0,4.0,3.0,2,
Absolutely memorable trip,Natalja Litvinova,Romania,1st August 2023,Trip Verified,1st August 2023,A350,A350,Business Class,Bucharest to Singapore via Doha,July 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
Food was amazing,Hossameldin Marzouk,Poland,30th July 2023,Trip Verified,30th July 2023,,Business,First Class,Doha to Warsaw,November 2022,10/10,5.0,5.0,5.0,5.0,5.0,5,
Service on board was good,Ine Joosten,Belgium,29th July 2023,Trip Verified,29th July 2023,,Family Leisure,Economy Class,Phuket to Brussels via Doha,July 2023,9/10,4.0,4.0,3.0,5.0,4.0,5,
the original series which is  a few years old,Jeroen Mutsaars,United Kingdom,27th July 2023,Trip Verified,27th July 2023,Boeing 777,Boeing 777,Business Class,Manchester to Jakarta via Doha,July 2023,2/10,1.0,1.0,1.0,1.0,1.0,1,
downgraded to the old seating,Michael Schade,Germany,26th July 2023,Trip Verified,26th July 2023,Boeing 787/A359,Boeing 787/A359,Business Class,Bangkok to Zurich via Doha,July 2023,3/10,2.0,5.0,5.0,5.0,5.0,1,
wait 5 hours for the next available flight,Ryan Furlong,Ireland,26th July 2023,Trip Verified,26th July 2023,,Solo Leisure,Economy Class,Dublin to Dubai via Doha,July 2023,1/10,1.0,1.0,1.0,,1.0,1,
Qatar airways is the best airline,K Emeli,Nigeria,26th July 2023,Trip Verified,26th July 2023,,Solo Leisure,Economy Class,London to Lagos via Doha,July 2023,9/10,5.0,5.0,5.0,5.0,5.0,5,
cheap and no-frill experience,S Leeson,United Kingdom,21st July 2023,Trip Verified,21st July 2023,,Family Leisure,Economy Class,London to Cochin via Doha,July 2023,1/10,3.0,1.0,1.0,1.0,1.0,1,
best service provided,Edlin Anthony Ang,Philippines,20th July 2023,Trip Verified,20th July 2023,Boeing 777-300,Boeing 777-300,Economy Class,Manila to Montreal via Doha,July 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
IFE system did not work,W Parlumo,United States,19th July 2023,Trip Verified,19th July 2023,A350,A350,Business Class,New York to Doha,July 2023,1/10,4.0,4.0,1.0,1.0,4.0,1,
Flights always on time,Petrus Smith,South Africa,16th July 2023,Trip Verified,16th July 2023,,Business,Premium Economy,Johannesburg to Baghdad via Doha,July 2023,10/10,4.0,5.0,4.0,4.0,5.0,5,
made me feel unwelcome,S Meed,South Africa,16th July 2023,Trip Verified,16th July 2023,,Family Leisure,Economy Class,Johannesburg to Bali via Doha,July 2023,2/10,2.0,1.0,3.0,4.0,1.0,3,
Qatar Airways is the best way to go,Chipo Maenzanise,United Kingdom,14th July 2023,Trip Verified,14th July 2023,,Solo Leisure,Economy Class,Harare to London via Doha,July 2023,8/10,4.0,5.0,3.0,5.0,4.0,4,
The seat was uncomfortable,S Haseet,India,13th July 2023,Trip Verified,13th July 2023,Boeing 777-300,Boeing 777-300,Economy Class,Mumbai to Chicago via Doha,July 2023,2/10,2.0,3.0,5.0,3.0,3.0,1,
stuck at the airport this whole time,T Mayle,United States,12th July 2023,Trip Verified,12th July 2023,,Solo Leisure,Economy Class,Philadelphia to Doha,June 2023,1/10,1.0,1.0,,,1.0,1,
Friendly helpful staff,M Barten,New Zealand,10th July 2023,Trip Verified,10th July 2023,A350,A350,Business Class,Doha to Cape Town,July 2023,8/10,5.0,5.0,5.0,4.0,5.0,4,
Didn't give access to a lounge,B Allen,United Arab Emirates,4th July 2023,Trip Verified,4th July 2023,,Solo Leisure,Economy Class,Abu Dhabi to Manchester via Doha,July 2023,1/10,4.0,1.0,5.0,,1.0,1,
turned out to be exactly as advertised,Jason Ma,Hong Kong,1st July 2023,Trip Verified,1st July 2023,A350,A350,Business Class,New York JFK to Doha,June 2023,9/10,5.0,5.0,5.0,4.0,5.0,5,
food was disgusting,Kashfia Haque,United States,23rd June 2023,Not Verified,23rd June 2023,,Family Leisure,Economy Class,Boston to Dhaka via Doha,February 2023,3/10,1.0,3.0,1.0,1.0,2.0,3,
"Flights uneventful,",Michael Schade,Germany,21st June 2023,Trip Verified,21st June 2023,773/773 (ex. CX),773/773 (ex. CX),Economy Class,Frankfurt to Bangkok via Doha,June 2023,5/10,1.0,3.0,2.0,1.0,4.0,2,
Flight was okay,H Hummaira ,United States,21st June 2023,Trip Verified,21st June 2023,,Solo Leisure,Economy Class,Los Angeles to Lagos via Doha,January 2023,3/10,4.0,5.0,3.0,4.0,4.0,3,
rather use a different airline,Atilla Birer,Romania,16th June 2023,Trip Verified,16th June 2023,,Business,Economy Class,Abu Dhabi to Bucharest via Doha,June 2023,1/10,1.0,2.0,4.0,4.0,1.0,1,
put his seat in full recline position,Sebastien Gendron,France,15th June 2023,Trip Verified,15th June 2023,,Family Leisure,Economy Class,Paris to Jakarta via Doha,June 2023,6/10,1.0,4.0,4.0,4.0,3.0,3,
was well pampered,Anders Pedersen,Vietnam,15th June 2023,Trip Verified,15th June 2023,Boeing 787-8,Boeing 787-8,Economy Class,Doha to Hanoi,June 2023,8/10,4.0,4.0,4.0,5.0,5.0,3,
Will keep flying Qatar,S Barton,Netherlands,14th June 2023,Trip Verified,14th June 2023,Boeing 777 300ER,Boeing 777 300ER,Economy Class,Amsterdam to Phuket via Doha,June 2023,9/10,4.0,4.0,4.0,4.0,5.0,5,
my seat was uncomfortable,A Kamareem,Qatar,14th June 2023,Trip Verified,14th June 2023,A330-300,A330-300,Economy Class,Madrid to Doha ,June 2023,5/10,1.0,5.0,4.0,1.0,3.0,3,
customer service was super courteous,Maryam Daneshvaran,United States,14th June 2023,Not Verified,14th June 2023,,Couple Leisure,Economy Class,Tehran to Dallas via Doha,June 2023,8/10,5.0,5.0,2.0,2.0,5.0,5,
Exceptional service,M Kralik,Bulgaria,9th June 2023,Trip Verified,9th June 2023,A320,A320,Business Class,Sofia to Dubai via Doha,June 2023,10/10,5.0,5.0,5.0,4.0,5.0,5,
utmost satisfaction and appreciation,Ravisankar Konnakkottu,New Zealand,7th June 2023,Trip Verified,7th June 2023,,Solo Leisure,Economy Class,Auckland to Doha,May 2023,10/10,5.0,5.0,5.0,4.0,5.0,5,
rather underwhelming experience,C Scheale,Germany,7th June 2023,Trip Verified,7th June 2023,Boeing 777-300 / 787-8,Boeing 777-300 / 787-8,Economy Class,Bangkok to Frankfurt via Doha,June 2023,5/10,3.0,5.0,2.0,5.0,4.0,1,
difficult to deal with customer service,Francisca Arancibia-Duran,Australia,6th June 2023,Not Verified,6th June 2023,,Couple Leisure,Economy Class,Athens to Sydney via Doha,June 2023,4/10,2.0,3.0,2.0,2.0,3.0,2,
appreciate the good and warm services,Rizaldy Ilaya,Philippines,3rd June 2023,Trip Verified,3rd June 2023,,Solo Leisure,Economy Class,Lagos to Manila via Doha,June 2023,9/10,4.0,5.0,5.0,4.0,5.0,4,
switched us from suites,W Peale,United States,27th May 2023,Trip Verified,27th May 2023,Boeing 777-300ER,Boeing 777-300ER,Business Class,Doha to Ord,May 2023,6/10,2.0,5.0,5.0,4.0,1.0,2,
Great seats in business class,Joanna Michael dit Miguel,United Kingdom,24th May 2023,Trip Verified,24th May 2023,Boeing 777,Boeing 777,Business Class,London to Abu Dhabi via Doha,May 2023,3/10,4.0,4.0,3.0,5.0,3.0,1,
they put me in exit row center,R Geares,United States,24th May 2023,Trip Verified,24th May 2023,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Doha to Chicago,May 2023,4/10,3.0,3.0,3.0,4.0,2.0,2,
had a very good experience,M Hakan Dagtas,Philippines,22nd May 2023,Trip Verified,22nd May 2023,Boeing 777-200 LR,Boeing 777-200 LR,Business Class,Manila to Istanbul via Doha,May 2023,9/10,5.0,5.0,5.0,5.0,4.0,4,
